conception_risk_lh	lh_day	fertile_lh	mv_est_estradiol_lh	mv_est_free_estradiol_lh	mv_est_progesterone_lh	mv_est_testosterone_lh	mv_est_luteinising_lh	mv_est_free_testosterone_lh
0	-15	0	3.43	-0.7	6.43	3.04	1.44	-1.19
0	-14	0	3.43	-0.7	6.36	3.05	1.29	-1.17
0	-13	0	3.49	-0.63	6.28	3.06	1.26	-1.15
0	-12	0	3.55	-0.56	6.2	3.09	1.36	-1.12
0	-11	0	3.62	-0.48	6.11	3.13	1.53	-1.07
0	-10	0	3.66	-0.43	6.04	3.17	1.65	-1.03
0	-9	0	3.68	-0.41	6	3.2	1.68	-0.98
0	-8	0	3.72	-0.37	6	3.21	1.53	-0.97
0	-7	0	3.81	-0.28	5.97	3.22	1.39	-0.94
0.01	-6	0.032258064516129	4.03	-0.04	5.93	3.24	1.3	-0.92
0.02	-5	0.0645161290322581	4.35	0.32	5.9	3.26	1.36	-0.89
0.06	-4	0.193548387096774	4.7	0.72	5.88	3.3	1.65	-0.85
0.16	-3	0.516129032258065	5.04	1.1	5.93	3.37	2.1	-0.78
0.2	-2	0.645161290322581	5.22	1.31	6.12	3.42	2.52	-0.73
0.25	-1	0.806451612903226	5.21	1.28	6.45	3.48	2.79	-0.69
0.24	0	0.774193548387097	5	1.05	6.89	3.51	2.82	-0.67
0.1	1	0.32258064516129	4.71	0.7	7.45	3.5	2.59	-0.7
0.02	2	0.0645161290322581	4.42	0.38	8	3.45	2.22	-0.75
0.02	3	0.0645161290322581	4.29	0.21	8.44	3.39	1.84	-0.83
0	4	0	4.35	0.28	8.79	3.33	1.57	-0.9
0	5	0	4.55	0.5	9	3.27	1.44	-0.97
0	6	0	4.81	0.78	9.12	3.24	1.44	-1.01
0	7	0	4.99	0.99	9.16	3.22	1.48	-1.03
0	8	0	5.05	1.05	9.14	3.2	1.46	-1.05
0	9	0	4.95	0.94	9.07	3.2	1.39	-1.05
0	10	0	4.73	0.69	8.94	3.19	1.27	-1.06
0	11	0	4.47	0.4	8.73	3.18	1.16	-1.08
0	12	0	4.28	0.19	8.42	3.16	1.18	-1.1
0	13	0	4.14	0.04	8.02	3.14	1.27	-1.13
0	14	0	4.07	-0.04	7.58	3.12	1.43	-1.16
0	15	0	4	-0.11	7.13	3.09	1.57	-1.19
